Категория;Название;Цена;Артикул
Роллы (подписка);Каппа маки *;245;1116
Роллы (подписка);Кето лосось-креветки *;675;1194
Роллы (подписка);Кето лосось-тунец *;665;1195
Роллы (подписка);Кето ролл с тунцом *;675;1196
Роллы (подписка);Кето-лосось *;645;1197
Роллы (подписка);Киото чикен *;535;1151
Роллы (подписка);Королевский *;985;1198
Роллы (подписка);Красная Москва *;625;1199
Роллы (подписка);Манхеттен *;595;1117
Роллы (подписка);Мидии терияки *;525;1152
Роллы (подписка);Миндальная филадельфия *;845;1200
Роллы (подписка);Монте Карло *;785;1153
Роллы (подписка);Нежный поцелуй *;595;1118
Роллы (подписка);Поке с курицей *;465;1143
Роллы (подписка);Розовый *;595;1119
Роллы (подписка);Ролл по купону;0;
Роллы (подписка);Сказочный тунец *;595;1155
Роллы (подписка);Спайси эби маки *;395;1120
Роллы (подписка);Суп Мисо гурме *;425;1144
Роллы (подписка);Суши сендвич с жареным лососем *;625;1202
Роллы (подписка);Суши сендвич с лососем *;545;1201
Роллы (подписка);Сяке кунсей маки *;385;1121
Роллы (подписка);Сяке маки*;385;1203
Роллы (подписка);Сяке ясай *;655;1158
Роллы (подписка);Тилапийский дракон *;635;1159
Роллы (подписка);Туна маки *;375;1122
Роллы (подписка);Туна фреш *;595;1160
Роллы (подписка);Унаги маки *;475;1123
Роллы (подписка);Унаги онигара *;975;1204
Роллы (подписка);Филадельфия без нори *;655;1205
Роллы (подписка);Филадельфия лайт с огурцом *;595;1126
Роллы (подписка);Филадельфия премиум *;1690;1206
Роллы (подписка);Филадельфия с авокадо *;695;1207
Роллы (подписка);Филадельфия с огурцом *;655;1208
Роллы (подписка);Филадельфия сливочная *;655;1209
Роллы (подписка);Фреш ролл *;465;1128
Роллы (подписка);Царская фила том-ям *;1100;1210
Роллы (подписка);Царский тунец *;625;1211
Роллы (подписка);Чеддер скин ролл *;595;1161
Роллы (подписка);Чёрная жемчужина *;745;1212
Роллы (подписка);Чизи эби *;595;1162
Роллы (подписка);Чикен лав *;475;1130
Роллы (подписка);Чикен фиера *;485;1163
Роллы (подписка);Чука маки *;355;1213
Роллы (подписка);Шанель *;625;1214
Роллы (подписка);Шёлковый путь *;495;1132
Роллы (подписка);Эби дрим *;675;1164
Роллы (подписка);Эби свит чили *;735;1165
Роллы (подписка);Эби спайси *;635;1166
Роллы запечен. (подписка);Горячий Дон жуан *;595;1179
Роллы запечен. (подписка);Запеченный Мидуэй *;595;1134
Роллы запечен. (подписка);Запеченный ролл с беконом *;595;1181
Роллы запечен. (подписка);Запеченный ролл с угрем *;875;1182
Роллы запечен. (подписка);Запеченный тори ролл *;565;1148
Роллы запечен. (подписка);Кани гриль *;595;1136
Роллы запечен. (подписка);Клеопатра *;1090;1184
Роллы запечен. (подписка);Краб дуэт гриль *;585;1137
Роллы запечен. (подписка);Мидии маки гриль *;585;1183
Роллы запечен. (подписка);Ниагара *;595;1139
Роллы запечен. (подписка);Суши-пицца креветки *;665;1186
Роллы запечен. (подписка);Суши-пицца курица *;565;1140
Роллы запечен. (подписка);Суши-пицца лосось *;655;1185
Роллы запечен. (подписка);Сяке кани гриль *;655;1187
Роллы запечен. (подписка);Сяке кунсей гриль *;685;1188
Роллы запечен. (подписка);Сяке терияки *;635;1156
Роллы запечен. (подписка);Сяке хот *;595;1157
Роллы запечен. (подписка);Тёплый ролл с лососем *;675;1189
Роллы запечен. (подписка);Туна гриль *;615;1141
Роллы запечен. (подписка);Фила эби гриль *;795;1190
Роллы запечен. (подписка);Чикен гриль *;565;1142
Роллы запечен. (подписка);Эби гриль *;655;1191
Роллы запечен. (подписка);Эби кани гриль *;675;1192
Роллы запечен. (подписка);Яки сяке хот *;685;1167
Сеты (подписка);сет Богемия *;4790;1071
Сеты (подписка);сет Дамский угодник *;1890;1074
Сеты (подписка);сет Дары поднебесной *;2790;1102
Сеты (подписка);сет Джонни Д *;2790;1075
Сеты (подписка);сет Джуниор *;1640;1076
Сеты (подписка);сет Домино *;1990;1079
Сеты (подписка);сет Душевное спокойствие *;2690;1097
Сеты (подписка);сет Жаркая осень *;1890;1080
Сеты (подписка);сет Квартет удовольствия *;2990;1098
Сеты (подписка);сет Коби Брайант *;2840;1081
Сеты (подписка);сет Любимый *;2590;1082
Сеты (подписка);сет Мамина радость *;2590;1083
Сеты (подписка);сет На дружную компания *;3490;1084
Сеты (подписка);сет Ниватори Шива *;1440;1100
Сеты (подписка);сет Олимпия *;2090;1085
Сеты (подписка);сет Премиум лайт *;2390;1088
Сеты (подписка);сет Сердца трех *;2990;1089
Сеты (подписка);сет Сливочный *;1940;1090
Сеты (подписка);сет Теплое удовольствие *;2590;1091
Сеты (подписка);сет Токийский дрифт *;2590;1103
Сеты (подписка);сет Филадельфия люкс *;4790;1093
Сеты (подписка);сет Хоккайдо *;1890;1104
Сеты (подписка);сет Эксклюзив *;1840;1095
Сеты (подписка);Тёплый лосось микс *;1790;1101
Сеты (подписка);Трипл сет *;1740;1096
